wav_path,transcript,label
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-01-01-01.wav,kids are talking by the door,neutral
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-01-02-01.wav,kids are talking by the door,neutral
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-02-01-01.wav,dogs are sitting by the door,neutral
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-01-01-02-02-01.wav,dogs are sitting by the door,neutral
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-01-01-01.wav,kids are talking by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-01-02-01.wav,kids are talking by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-02-01-01.wav,dogs are sitting by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-01-02-02-01.wav,dogs are sitting by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-01-01-01.wav,kids are talking by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-01-02-01.wav,kids are talking by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-02-01-01.wav,dogs are sitting by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-02-02-02-02-01.wav,dogs are sitting by the door,calm
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-01-01-01.wav,kids are talking by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-01-02-01.wav,kids are talking by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-02-01-01.wav,dogs are sitting by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-01-02-02-01.wav,dogs are sitting by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-01-01-01.wav,kids are talking by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-01-02-01.wav,kids are talking by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-02-01-01.wav,dogs are sitting by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-03-02-02-02-01.wav,dogs are sitting by the door,happy
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-01-01-01.wav,kids are talking by the door,sad
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-01-02-01.wav,kids are talking by the door,sad
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-02-01-01.wav,dogs are sitting by the door,sad
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-01-02-02-01.wav,dogs are sitting by the door,sad
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-02-01-01-01.wav,kids are talking by the door,sad
C:\Users\Harshil\Documents\Codes\emotion-detection-multimodal\data\ravdess-emotional-speech-audio\versions\1\Actor_01\03-01-04-02-01-02-01.wav,kids are talking by the door,sad
